envSteps,gradientSteps,totalReward,totalCuriosity,worldModelLoss,reconstructionLoss,rewardPredictorLoss,klLoss,teamItemLoss,ltmRewardLoss,ltmMapLoss,curiosityLoss,actorLoss,entropies,criticLoss,curiosityCriticLoss,advantages,curiosityAdvantages,criticValues,curiosityCriticValues
225000,500,0.37,3.494,16.1316,4.624,0.139,8.6427,0.0498,0.0,0.0296,0.009,-0.0015,1.7853,0.3863,0.104,0.0003,-0.0001,0.0067,0.002
300000,1000,0.0,2.172,11.5706,3.6459,0.1357,7.1218,0.0323,0.0,0.0084,0.016,-0.0012,1.7302,0.5466,0.6035,0.0001,0.002,0.0123,0.037
375000,1500,0.0,1.874,8.223,3.1218,0.352,4.4753,0.0155,0.0,0.0032,0.0142,-0.0005,1.5917,0.6578,0.6352,-0.0002,0.0056,0.0169,0.2085
450000,2000,0.13,5.062,6.5021,2.7327,0.131,3.4942,0.0189,0.0,0.0015,0.0099,-0.0006,1.5347,0.7023,0.6168,-0.0002,0.0056,0.0191,0.4368
525000,2500,17.26,5.122,6.3118,2.4677,0.1309,3.5914,0.0193,0.0,0.0038,0.0057,-0.0011,1.4522,0.7722,0.6105,-0.0002,0.0045,0.0234,0.5076
600000,3000,25.15,4.298,6.0297,2.4401,0.2838,3.2232,0.0111,0.0,0.0025,0.0144,0.0002,1.2111,0.9392,0.684,0.0018,0.0042,0.0647,0.6991
675000,3500,17.27,2.496,5.8794,2.3203,0.1312,3.353,0.0137,0.0,0.003,0.008,-0.0024,1.3482,0.8081,0.4491,0.0014,-0.006,0.1497,0.4635
750000,4000,0.0,0.902,6.874,2.2621,0.1867,4.2596,0.0167,0.0,0.0124,0.009,0.0022,1.2044,0.8082,0.6182,0.0045,0.0065,0.2039,0.4279
825000,4500,0.0,3.02,5.6899,2.1044,0.2084,3.2866,0.0069,0.0,0.0064,0.0084,-0.0017,1.3361,0.7664,0.551,0.0011,-0.0015,0.1893,0.6447
900000,5000,0.0,1.886,5.9571,2.0409,0.1312,3.6816,0.0057,0.0,0.0041,0.0073,0.0006,1.028,0.8488,0.694,0.0049,0.0015,0.2512,0.5659
975000,5500,0.0,2.236,5.7477,2.0466,0.1838,3.4416,0.0086,0.0,0.0026,0.0067,0.0001,1.2131,0.7117,0.4385,0.0026,-0.0024,0.2771,0.4653
1050000,6000,25.24,1.702,5.3273,2.0508,0.1786,3.0293,0.0084,0.0,0.0023,0.0064,0.0021,0.9849,0.754,0.5543,0.0061,-0.0021,0.3395,0.2492
1125000,6500,26.28,1.762,5.6068,2.008,0.1308,3.4276,0.0052,0.0,0.0007,0.0051,0.0002,1.1392,0.7073,0.6299,0.0036,-0.0025,0.3794,0.2724
1200000,7000,10.1,2.21,5.2224,2.0588,0.1842,2.9472,0.006,0.0,0.0017,0.0083,-0.003,1.3025,0.8103,0.7162,-0.0015,0.0056,0.376,0.4332
